City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,Punta Alta,-38.8759,-62.0736,59.09,48,70,20.18,AR,2022-10-12 23:18:36
237,Dudinka,69.4058,86.1778,31.62,87,100,8.32,RU,2022-10-12 23:18:36
238,Hasaki,35.7333,140.8333,68.22,88,100,15.23,JP,2022-10-12 23:18:36
239,Gejiu,23.306,103.1635,50.76,94,100,3.4,CN,2022-10-12 23:18:37
240,Chapais,49.7834,-74.8492,51.58,85,100,14.76,CA,2022-10-12 23:18:37
241,Am Timan,11.0297,20.2827,74.41,80,8,4.79,TD,2022-10-12 23:18:37
242,Damara,4.9608,18.7035,71.08,97,95,2.17,CF,2022-10-12 23:18:38
243,Padang,-0.9492,100.3543,73.45,85,98,2.57,ID,2022-10-12 23:18:38
244,Kadiri,14.1167,78.1667,70.16,95,100,4.5,IN,2022-10-12 23:18:38
245,Buta,2.7858,24.73,68.68,99,92,2.04,CD,2022-10-12 23:18:39
246,Provideniya,64.3833,-173.3,32.11,64,0,4.47,RU,2022-10-12 23:18:39
247,Westerland,54.9079,8.3033,50.02,93,100,8.05,DE,2022-10-12 23:18:40
248,Yeniseysk,58.4497,92.1703,35.55,97,100,6.78,RU,2022-10-12 23:18:40
249,Nanakuli,21.3906,-158.1547,84.42,69,20,9.22,US,2022-10-12 23:18:40
250,Ballina,-28.8667,153.5667,66.24,69,38,8.88,AU,2022-10-12 23:18:41
251,Norman Wells,65.282,-126.8329,30.24,80,75,2.3,CA,2022-10-12 23:18:41
252,Fortuna,40.5982,-124.1573,59.92,80,0,13.8,US,2022-10-12 23:18:41
253,Alpena,45.0617,-83.4327,54.18,93,100,5.75,US,2022-10-12 23:18:42
254,Cockburn Town,21.4612,-71.1419,82.45,75,79,16.64,TC,2022-10-12 23:13:54
255,Twentynine Palms,34.1356,-116.0542,89.98,30,33,8.01,US,2022-10-12 23:15:28
256,Matara,5.9485,80.5353,77.04,86,100,8.66,LK,2022-10-12 23:18:42
257,Paamiut,61.994,-49.6678,24.73,52,11,9.48,GL,2022-10-12 23:18:43
258,Kamaishi,39.2667,141.8833,59.22,74,100,6.71,JP,2022-10-12 23:18:43
259,Novyy Urengoy,66.0833,76.6333,35.83,73,96,3.69,RU,2022-10-12 23:18:43
260,Wilmington,34.2257,-77.9447,71.91,79,0,3.44,US,2022-10-12 23:15:45
261,Santa Cruz,-17.8,-63.1667,68.05,83,75,5.75,BO,2022-10-12 23:18:44
262,Zhob,31.3411,69.4481,62.31,19,0,4.74,PK,2022-10-12 23:18:44
263,Souillac,-20.5167,57.5167,70.18,83,75,10.36,MU,2022-10-12 23:18:45
264,Sadri,25.1833,73.4333,74.59,33,0,4.99,IN,2022-10-12 23:18:45
265,Tommot,58.9564,126.2925,36.03,98,100,8.23,RU,2022-10-12 23:18:45
266,Avarua,-21.2078,-159.775,78.85,78,75,18.41,CK,2022-10-12 23:15:38
267,Tuatapere,-46.1333,167.6833,50.2,59,97,2.17,NZ,2022-10-12 23:18:46
268,Yar-Sale,66.8333,70.8333,37.83,84,89,7.58,RU,2022-10-12 23:18:46
269,Gizo,-8.103,156.8419,83.35,70,100,4.79,SB,2022-10-12 23:18:47
270,Praia,14.9215,-23.5087,79.34,83,20,6.91,CV,2022-10-12 23:18:47
271,Wonosobo,-7.36,109.9025,67.73,96,93,2.46,ID,2022-10-12 23:18:47
272,Mango,27.9797,-82.3065,82.22,88,0,0.0,US,2022-10-12 23:18:48
273,Laguna,38.421,-121.4238,90.09,39,0,9.22,US,2022-10-12 23:18:48
274,Lodja,-3.4833,23.4333,68.74,98,63,1.05,CD,2022-10-12 23:18:48
275,Jardim,-21.4803,-56.1381,66.9,98,100,3.15,BR,2022-10-12 23:18:49
276,Anlu,31.1661,112.5831,53.67,61,3,5.97,CN,2022-10-12 23:18:49
277,Sorland,67.667,12.6934,49.86,94,100,31.29,NO,2022-10-12 23:18:49
278,Ibipeba,-11.6408,-42.0111,73.76,47,2,6.89,BR,2022-10-12 23:18:50
279,Antofagasta,-23.65,-70.4,58.28,82,18,5.48,CL,2022-10-12 23:18:51
280,Coracao De Jesus,-16.6853,-44.365,78.19,33,18,8.19,BR,2022-10-12 23:18:52
281,Cozumel,20.5083,-86.9458,86.07,85,40,4.61,MX,2022-10-12 23:18:53
282,Lorengau,-2.0226,147.2712,83.43,66,78,4.12,PG,2022-10-12 23:18:53
283,Spirit River,55.7833,-118.8361,55.83,34,50,6.49,CA,2022-10-12 23:18:53
284,Mantua,45.1667,10.7833,60.04,81,100,1.99,IT,2022-10-12 23:18:54
285,Coihaique,-45.5752,-72.0662,39.81,52,75,3.44,CL,2022-10-12 23:18:54
286,Bushenyi,-0.5853,30.2114,60.1,92,99,1.88,UG,2022-10-12 23:18:54
287,Pevek,69.7008,170.3133,18.32,84,66,10.45,RU,2022-10-12 23:18:55
288,Hobyo,5.3505,48.5268,76.89,85,28,19.69,SO,2022-10-12 23:18:55
289,Waipawa,-41.4122,175.5153,45.99,90,100,8.84,NZ,2022-10-12 23:18:55
290,Aksarka,66.5606,67.7975,36.61,86,93,8.08,RU,2022-10-12 23:18:56
291,Lagoa,39.05,-27.9833,70.66,83,2,7.16,PT,2022-10-12 23:18:56
292,Tessalit,20.1986,1.0114,85.51,13,0,8.84,ML,2022-10-12 23:18:56
